SmartLog JointAnalysis v1.0 - Tubing Thickness
188, 16, 16
Item,Top,Bottom,Length,NomOD,Weight,TNom,TMin,TMax,TAvg,TRmn,MaxLoss%,DptMxLos,AvLoss %,Defect %,Grade,Comment
11,349.648555893177,388.089080149805,38.4405242566287,4.5,11.6,0.25,0.237662160153785,0.257964763716719,0.244499295468032,0.0055007045319683,4.93513593848581,385.883312988281,2.20028181278732,2.79638241949053,Light,
12,390.089080149805,428.801017320908,38.7119371711027,4.5,11.6,0.25,0.239373041158775,0.261892318382942,0.249339212651019,0.000660787348980646,4.25078353648984,426.55,0.264314939592258,3.99703335319055,Light,
13,430.801017320908,469.512954492011,38.7119371711027,4.5,11.6,0.25,0.246276123446472,0.27526534558668,0.254288448104205,-0.00428844810420548,1.48955062141106,465.216625976562,-1.71537924168219,3.15088031621859,Negligible,
14,471.512954492011,504.299090663549,32.7861361715386,4.5,11.6,0.25,0.241540236437872,0.253953383873627,0.243052000090202,0.00694799990979791,3.38390542485102,504.216625976562,2.77919996391917,0.621991858437118,Light,
15,507.299090663549,509.139240005218,1.84014934166805,4.5,11.6,0.25,0.241815722797277,0.255459882095336,0.24543416548547,0.00456583451452949,3.27371088108939,507.3,1.8263338058118,1.47430276507619,Light,
16,511.139240005218,549.579764261846,38.4405242566287,4.5,11.6,0.25,0.237455966708478,0.262493121255628,0.24581851176877,0.00418148823123041,5.01761331660877,546.616625976563,1.67259529249216,3.40191835029812,Light,
17,551.579764261846,590.020288518475,38.4405242566288,4.5,11.6,0.25,0.23932050934747,0.269440949703436,0.243816199972329,0.00618380002767085,4.2717962610122,587.616625976563,2.47352001106834,1.84388511730141,Light,
18,592.020288518475,631.003638604052,38.9833500855767,4.5,11.6,0.25,0.238356874614756,0.259089897548132,0.244595080584852,0.00540491941514759,4.65725015409776,626.783251953125,2.16196776605904,2.55042168271766,Light,
19,633.003638604052,670.629924117258,37.6262855132067,4.5,11.6,0.25,0.240152057831551,0.254635844296332,0.246833944791469,0.00316605520853069,3.93917686737946,667.366625976563,1.26642208341228,2.70703730216804,Light,
20,672.629924117258,711.070448373887,38.4405242566288,4.5,11.6,0.25,0.237901693305408,0.268515690641297,0.247073027504404,0.00292697249559645,4.83932267783685,707.366625976563,1.17078899823858,3.71199328863699,Light,
21,713.070448373887,745.412538105854,32.3420897319668,4.5,11.6,0.25,0.239335465322537,0.25011164940619,0.241048413297997,0.00895158670200277,4.26581387098521,745.366625976563,3.58063468080111,0.710624041047978,Light,
22,748.412538105854,751.78238554499,3.36984743913592,4.5,11.6,0.25,0.240327352302417,0.244719417431115,0.241483293461427,0.00851670653857287,3.86905907903321,748.45,3.40668261542915,0.478683697924139,Light,
23,753.78238554499,793.579974373989,39.7975888289989,4.5,11.6,0.25,0.239353815296934,0.274539106095053,0.24421364707067,0.00578635292933011,4.25847388122641,787.283251953125,2.31454117173204,1.98999189112867,Light,
24,795.579974373989,834.563324459566,38.9833500855768,4.5,11.6,0.25,0.239811166030762,0.252816126069731,0.245755334674721,0.00424466532527878,4.07553358769537,827.283251953125,1.69786613011151,2.41873432852526,Light,
25,836.563324459566,876.08950037409,39.5261759145247,4.5,11.6,0.25,0.239158616822674,0.284283282771171,0.24473381874266,0.00526618125733977,4.33655327093029,865.7,2.10647250293591,2.27806763635243,Light,
26,878.08950037409,916.258611716245,38.1691113421548,4.5,11.6,0.25,0.240556217260868,0.248271859341063,0.24530728002612,0.00469271997388024,3.77751309565263,904.95,1.8770879895521,1.93678017413321,Light,
27,918.258611716245,944.388347887945,26.1297361717001,4.5,11.6,0.25,0.238696889943191,0.256924202399707,0.242867382709533,0.00713261729046716,4.52124402272359,944.366625976563,2.85304691618686,1.71718932357817,Light,
28,947.388347887945,956.970548887348,9.58220099940263,4.5,11.6,0.25,0.239196497833506,0.243263429015444,0.240247510508697,0.00975248949130253,4.32140086659759,947.45,3.90099579652101,0.437470787092047,Light,
29,958.970548887348,983.025734496511,24.0551856091631,4.5,11.6,0.25,0.23953597235985,0.248694834953476,0.240717239982684,0.00928276001731632,4.1856110560598,963.116625976563,3.71310400692653,0.490728301353972,Light,
30,986.025734496511,998.768137716347,12.7424032198356,4.5,11.6,0.25,0.244046914490706,0.25443990022631,0.245204845469251,0.00479515453074911,2.3812342037176,986.033251953125,1.91806181229964,0.472230055784151,Negligible,
31,1000.76813771635,1023.81712175224,23.0489840358974,4.5,11.6,0.25,0.236478648261258,0.240175317342381,0.238803153567729,0.0111968464322712,5.40854069549694,1001.95,4.47873857290849,0.973398077765276,Negligible,
32,1026.81712175224,1038.9372490585,12.120127306257,4.5,11.6,0.25,0.243585492222943,0.253078839052621,0.245749210773163,0.004250789226837,2.56580311082263,1026.86650390625,1.7003156907348,0.880457985363289,Negligible,
33,1040.9372490585,1063.2622586035,22.3250095449964,4.5,11.6,0.25,0.242961565194143,0.245442744505659,0.244650558757161,0.00534944124283934,2.81537392234277,1041.86650390625,2.13977649713574,0.690369795841777,Negligible,
34,1066.2622586035,1079.92059914408,13.6583405405802,4.5,11.6,0.25,0.240941334738864,0.245866272153903,0.242836676146265,0.00716332385373525,3.62346610445453,1078.61650390625,2.8653295414941,0.780500473602053,Light,
35,1081.92059914408,1103.91902081878,21.9984216747048,4.5,11.6,0.25,0.242417295253661,0.249147183680625,0.244801862801389,0.00519813719861081,3.03308189853562,1083.36650390625,2.07925487944433,0.974080638292715,Light,
36,1106.91902081878,1120.08971048623,13.1706896674498,4.5,11.6,0.25,0.242282012045355,0.247970417200207,0.244252817230914,0.00574718276908573,3.08719518185814,1118.95,2.29887310763429,0.806871015001,Light,
37,1122.08971048623,1160.80164765733,38.7119371711026,4.5,11.6,0.25,0.243296484702862,0.25228617441303,0.249325267102124,0.000674732897876229,2.68140611885533,1146.61650390625,0.269893159150492,2.41803908177213,Negligible,
38,1162.80164765733,1186.04029549204,23.2386478347057,4.5,11.6,0.25,0.235465987200628,0.260939061127839,0.24224486982439,0.00775513017560978,5.81360511974891,1186.03325195313,3.10205207024391,2.79835962209507,Negligible,
39,1189.04029549204,1197.12029534547,8.07999985343372,4.5,11.6,0.25,0.234391207423419,0.23559394074647,0.235065187895451,0.0149348121045486,6.24351703063223,1189.11650390625,5.97392484181943,0.286720665899601,Negligible,
